Unnamed: 0,대교,일자,녹조,주소,상,하,상구,상동,하구,하동,총량지점명,수소이온농도(ph),전기전도도(μS/㎝),용존산소(㎎/L),BOD(㎎/L)_x,COD(㎎/L)_x,부유물질(㎎/L),총질소(T-N)(㎎/L),총인(T-P)(㎎/L),총유기탄소(TOC)(㎎/L),유량(㎥/s),방사선측정소명,측정소코드,I-131(요오드),수질측정소명,수온(℃)_y,DO(㎎/L),BOD(㎎/L)_y,COD(㎎/L)_y,TN(㎎/L),TP(㎎/L),TOC(㎎/L),SS(㎎/L),평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일사량(MJ/m2),분기_m,하구분기별인구수,하동분기별인구수,물재생센터명칭,방류_BOD,방류_TOC(2021년 1월 이전자료는 COD),방류_SS,방류_T-N,방류_TP,방류_COCG,년,월,일,80mm이상비온날횟수,방사선측정망까지의거리,총량측정망까지의거리,수질측정망까지의거리,1차하수처리량,2차하수처리량,상동분기별인구수,상구분기별인구수,교통량,총_유동인구_수_상구,연령대_10_유동인구_수_상구,연령대_20_유동인구_수_상구,연령대_30_유동인구_수_상구,연령대_40_유동인구_수_상구,연령대_50_유동인구_수_상구,연령대_60_이상_유동인구_수_상구,총_유동인구_수_하구,연령대_10_유동인구_수_하구,연령대_20_유동인구_수_하구,연령대_30_유동인구_수_하구,연령대_40_유동인구_수_하구,연령대_50_유동인구_수_하구,연령대_60_이상_유동인구_수_하구,한강옆녹지_상구,한강옆녹지_하구,녹지_상구,녹지_하구,시민의식_환경
0,성수대교,2017-06-05,0.0,서울 성동구 옥수동 성수대교,성동구 성수1가1동,강남구 압구정동,성동구,성수1가1동,강남구,압구정동,한강G,8.5,169.0,10.5,1.9,4.1,5.0,1.562,0.018,2.3,110.277,탄천6,1018A22,0.731,탄천6,24.4,7.3,5.5,7.5,8.221,0.067,4.4,4.6,24.2,0.0,33.3,26.62,2017 1/2,568425.0,28355.0,중랑물재생센터,16.3,18.2,9.5,40.626,0.3259999999999999,2070.0,2017,6,5,0,4.327630719267837,6.9205438675806175,4.211394946008007,0.0,1156597.0,17225.0,311831.0,138251.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,490.0,0.0,1884.68,10232.27,4.89
1,광진교,2017-06-05,0.0,서울 강동구 천호동 광진교,광진구 광장동,강동구 천호동,광진구,광장동,강동구,천호2동,한강G,8.5,169.0,10.5,1.9,4.1,5.0,1.562,0.018,2.3,110.277,탄천6,1018A22,0.731,성내천,23.8,7.4,1.9,5.1,1.331,0.031,2.3,10.2,24.2,0.0,33.3,26.62,2017 1/2,453060.0,36240.0,탄천물재생센터,11.8,17.3,4.4,24.041,0.271,2300.0,2017,6,5,0,5.364305138762256,0.0302736875149207,2.169217144211481,0.0,676617.0,36515.0,371728.0,17123.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,0.0,2597.12,5250.89,4.95
2,한남대교,2017-06-05,0.0,서울 강남구 신사동 한남대교,용산구 한남동,서초구 잠원동,용산구,한남동,서초구,잠원동,한강G,8.5,169.0,10.5,1.9,4.1,5.0,1.562,0.018,2.3,110.277,중랑천6,1018A48,0.633,보광,22.9,7.3,1.0,5.0,3.775,0.048,2.4,3.4,24.2,0.0,33.3,26.62,2017 1/2,447936.0,35135.0,중랑물재생센터,16.3,18.2,9.5,40.626,0.3259999999999999,2070.0,2017,6,5,0,3.826155926430122,9.021813375263932,0.0299246352157982,0.0,1156597.0,23544.0,243406.0,164786.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,0.0,3552.88,11218.5,4.89
3,성산대교,2017-06-05,350.0,서울 마포구 망원동 성산대교,마포구 망원동,영등포구 양평2동,마포구,망원2동,영등포구,양평2동,한강H,7.2,369.0,5.7,2.8,5.7,6.3,5.511,0.15,3.3,107.658,노량진,1018A52,0.143,영등포,23.1,9.9,1.9,6.2,3.575,0.065,2.7,8.8,24.2,0.0,33.3,26.62,2017 1/2,402967.0,22799.0,난지물재생센터,7.5,14.3,4.300000000000001,30.252,0.16,370.0,2017,6,5,0,7.411079548588725,7.4053186405932925,0.5050029732725944,481.0,525016.0,20384.0,388574.0,175454.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,17169.44,8630.69,12598.06,4.88
4,한남대교,2017-06-12,0.0,서울 강남구 신사동 한남대교,용산구 한남동,서초구 잠원동,용산구,한남동,서초구,잠원동,한강G,8.5,169.0,10.5,1.9,4.1,5.0,1.562,0.018,2.3,110.277,중랑천6,1018A48,0.633,보광,22.9,7.3,1.0,5.0,3.775,0.048,2.4,3.4,22.1,0.0,45.5,24.22,2017 1/2,447936.0,35135.0,중랑물재생센터,16.1,17.9,10.0,40.879,0.2759999999999999,2200.0,2017,6,12,0,3.826155926430122,9.021813375263932,0.0299246352157982,60.0,1228797.0,23544.0,243406.0,205696.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,0.0,3552.88,11218.5,4.89
5,성수대교,2017-06-12,0.0,서울 성동구 옥수동 성수대교,성동구 성수1가1동,강남구 압구정동,성동구,성수1가1동,강남구,압구정동,한강G,8.5,169.0,10.5,1.9,4.1,5.0,1.562,0.018,2.3,110.277,탄천6,1018A22,0.731,탄천6,24.4,7.3,5.5,7.5,8.221,0.067,4.4,4.6,22.1,0.0,45.5,24.22,2017 1/2,568425.0,28355.0,중랑물재생센터,16.1,17.9,10.0,40.879,0.2759999999999999,2200.0,2017,6,12,0,4.327630719267837,6.9205438675806175,4.211394946008007,60.0,1228797.0,17225.0,311831.0,137855.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,490.0,0.0,1884.68,10232.27,4.89
6,성산대교,2017-06-12,0.0,서울 마포구 망원동 성산대교,마포구 망원동,영등포구 양평2동,마포구,망원2동,영등포구,양평2동,한강H,7.2,369.0,5.7,2.8,5.7,6.3,5.511,0.15,3.3,107.658,노량진,1018A52,0.143,영등포,23.1,9.9,1.9,6.2,3.575,0.065,2.7,8.8,22.1,0.0,45.5,24.22,2017 1/2,402967.0,22799.0,난지물재생센터,6.0,13.1,5.5,27.534,0.291,530.0,2017,6,12,0,7.411079548588725,7.4053186405932925,0.5050029732725944,785.0,530518.0,20384.0,388574.0,173949.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,17169.44,8630.69,12598.06,4.88
7,광진교,2017-06-12,0.0,서울 강동구 천호동 광진교,광진구 광장동,강동구 천호동,광진구,광장동,강동구,천호2동,한강G,8.5,169.0,10.5,1.9,4.1,5.0,1.562,0.018,2.3,110.277,탄천6,1018A22,0.731,성내천,23.8,7.4,1.9,5.1,1.331,0.031,2.3,10.2,22.1,0.0,45.5,24.22,2017 1/2,453060.0,36240.0,탄천물재생센터,12.9,16.200000000000003,8.4,15.951,0.285,2500.0,2017,6,12,0,5.364305138762256,0.0302736875149207,2.169217144211481,0.0,719203.0,36515.0,371728.0,18285.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,0.0,2597.12,5250.89,4.95
8,광진교,2017-06-19,0.0,서울 강동구 천호동 광진교,광진구 광장동,강동구 천호동,광진구,광장동,강동구,천호2동,한강G,8.3,172.0,9.2,1.2,4.4,2.1,1.521,0.02,2.1,102.727,탄천6,1018A22,0.731,성내천,23.8,7.4,1.9,5.1,1.331,0.031,2.3,10.2,24.8,0.0,50.9,21.0,2017 1/2,453060.0,36240.0,탄천물재생센터,11.4,15.7,4.4,15.296,0.3289999999999999,2600.0,2017,6,19,0,5.364305138762256,0.0302736875149207,2.169217144211481,0.0,732014.0,36515.0,371728.0,18673.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,0.0,2597.12,5250.89,4.95
9,성수대교,2017-06-19,0.0,서울 성동구 옥수동 성수대교,성동구 성수1가1동,강남구 압구정동,성동구,성수1가1동,강남구,압구정동,한강G,8.3,172.0,9.2,1.2,4.4,2.1,1.521,0.02,2.1,102.727,탄천6,1018A22,0.731,탄천6,24.4,7.3,5.5,7.5,8.221,0.067,4.4,4.6,24.8,0.0,50.9,21.0,2017 1/2,568425.0,28355.0,중랑물재생센터,16.2,18.5,10.5,42.193,0.2799999999999999,1920.0,2017,6,19,0,4.327630719267837,6.9205438675806175,4.211394946008007,0.0,1213259.0,17225.0,311831.0,137047.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,490.0,0.0,1884.68,10232.27,4.89
10,성산대교,2017-06-19,1350.0,서울 마포구 망원동 성산대교,마포구 망원동,영등포구 양평2동,마포구,망원2동,영등포구,양평2동,한강H,7.7,357.0,9.3,2.5,6.1,6.0,4.725,0.18,3.0,97.629,노량진,1018A52,0.143,영등포,23.1,9.9,1.9,6.2,3.575,0.065,2.7,8.8,24.8,0.0,50.9,21.0,2017 1/2,402967.0,22799.0,난지물재생센터,7.9,14.7,5.5,30.881,0.494,650.0,2017,6,19,0,7.411079548588725,7.4053186405932925,0.5050029732725944,678.0,530066.0,20384.0,388574.0,168479.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,17169.44,8630.69,12598.06,4.88
11,한남대교,2017-06-19,0.0,서울 강남구 신사동 한남대교,용산구 한남동,서초구 잠원동,용산구,한남동,서초구,잠원동,한강G,8.3,172.0,9.2,1.2,4.4,2.1,1.521,0.02,2.1,102.727,중랑천6,1018A48,0.633,보광,22.9,7.3,1.0,5.0,3.775,0.048,2.4,3.4,24.8,0.0,50.9,21.0,2017 1/2,447936.0,35135.0,중랑물재생센터,16.2,18.5,10.5,42.193,0.2799999999999999,1920.0,2017,6,19,0,3.826155926430122,9.021813375263932,0.0299246352157982,0.0,1213259.0,23544.0,243406.0,142004.0,64796817.0,9842551.0,11924928.0,10522191.0,9607268.0,9308384.0,13591494.0,73621361.0,12441575.0,8683917.0,11041879.0,11479027.0,11507545.0,18467417.0,0.0,0.0,3552.88,11218.5,4.89
